file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
layout/style/nsCSSRuleProcessor.h,195,1,2,0,0.75
layout/style/nsIMediaList.h,186,1,13,1,0.55
layout/base/nsPresContext.h,1470,1,125,2,0.57
content/base/src/nsGkAtoms.h,34,0,0,0,3.40
layout/style/nsICSSRuleList.h,48,1,4,0,0.28
layout/style/nsCSSParser.h,207,0,0,0,0.88
layout/style/nsICSSLoaderObserver.h,44,1,1,0,2.62
content/base/public/nsINameSpaceManager.h,72,1,1,0,1.50
content/base/public/nsXMLNameSpaceMap.h,74,1,2,0,1.57
content/base/src/mozAutoDocUpdate.h,89,2,4,1,0.40
layout/style/nsRuleNode.h,782,1,38,2,0.34
layout/style/nsMediaFeatures.h,74,0,0,0,1.00
content/base/public/nsIDocumentObserver.h,342,1,1,0,2.93
xpcom/glue/nsTraceRefcnt.h,95,1,6,0,0.32
dom/bluetooth/BluetoothPropertyContainer.h,60,1,3,0,0.20
dom/bluetooth/BluetoothCommon.h,137,0,0,0,1.04
dom/bluetooth/BluetoothReplyRunnable.h,71,1,2,0,0.22
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/PCMFile.h,68,2,2,1,0.28
media/webrtc/trunk/webrtc/modules/interface/module_common_types.h,1072,2,47,3,0.19
media/webrtc/trunk/webrtc/modules/remote_bitrate_estimator/remote_bitrate_estimator_single_stream.cc,234,2,13,3,0.24
media/webrtc/trunk/webrtc/modules/remote_bitrate_estimator/bitrate_estimator.h,47,1,1,0,0.50
media/webrtc/trunk/webrtc/modules/remote_bitrate_estimator/include/remote_bitrate_estimator.h,103,1,8,0,0.63
media/webrtc/trunk/webrtc/modules/remote_bitrate_estimator/overuse_detector.h,113,1,1,0,0.32
media/webrtc/trunk/webrtc/modules/remote_bitrate_estimator/remote_rate_control.h,80,1,1,0,0.34
media/webrtc/trunk/webrtc/system_wrappers/interface/clock.h,81,1,2,0,1.11
media/webrtc/trunk/webrtc/system_wrappers/interface/scoped_ptr.h,258,1,30,1,0.21
gfx/skia/src/core/SkTLS.h,84,0,0,0,4.31
toolkit/components/places/VisitInfo.cpp,65,1,5,0,0.26
toolkit/components/places/VisitInfo.h,36,0,0,0,0.33
