attach_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree,crash_inducing
8400122,573.0,8.0,9.0,3.0,0.09,1.54,0.0,0.52,0.0,0.0,False
535806,8410.0,4.0,446.0,7.0,0.11,7.13,283740.11,3.33,21.0,173.0,False
666880,142.0,1.0,2.0,0.0,0.39,2.39,11.6,3.05,2.0,21.0,False
8531204,10697.0,6.0,281.0,5.0,0.22,80.66,796104.46,1.77,53.0,93.0,False
797962,2935.0,3.0,176.0,4.0,0.12,6.2,65111.22,2.15,51.5,34.5,False
8662285,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.47,0.0,0.0,False
454294,1222.0,2.0,103.0,3.0,0.16,2.59,0.0,0.91,0.0,0.0,False
8400166,9647.0,1.0,2683.0,4.0,0.07,9.0,175224.25,1.96,39.0,56.0,False
666920,6386.5,6.0,236.0,5.0,0.19,4.96,375581.24,3.05,15.0,109.5,False
8400171,302.0,3.0,17.0,3.0,0.18,1.54,0.0,1.96,0.0,26.0,False
700978,261.0,2.0,11.0,3.0,0.18,1.99,16.71,2.46,2.0,21.0,False
8662330,1968.5,2.0,163.5,3.0,0.38,2.77,64218.91,1.66,12.5,15.5,False
666943,2492.0,3.0,137.0,4.0,0.05,12.54,296737.12,3.05,38.0,50.0,False
535874,1907.0,5.0,69.0,5.0,0.26,3.36,3353.82,3.33,4.0,44.0,True
8531276,1968.0,2.0,148.0,3.0,0.21,3.6,44.29,1.77,6.0,22.0,False
8400206,549.0,8.5,9.0,4.0,0.07,1.59,308.63,1.24,1.0,11.5,False
8400215,683.0,4.0,8.0,3.0,0.24,2.55,0.0,1.96,10.0,0.0,False
8400222,1637.0,3.0,85.0,8.0,0.06,1.96,52778.44,1.96,7.0,38.0,False
8662373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
666984,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.78,0.0,0.0,False
535923,3427.0,6.0,134.0,6.0,0.15,23.49,139629.16,3.33,81.0,79.0,False
535925,1648.0,6.0,41.0,5.0,0.19,4.22,2795.5,3.33,4.0,55.0,False
535926,1481.0,4.5,74.0,4.5,0.16,2.92,1141.92,3.33,3.5,37.5,False
535927,658.0,5.0,21.0,2.0,0.17,2.59,0.0,0.91,0.0,0.0,False
535928,905.0,4.0,76.0,4.0,0.16,3.2,620.97,3.33,7.0,35.0,False
535930,717.0,5.0,17.0,5.0,0.29,3.36,13.04,3.33,4.0,22.0,False
8400254,1354.0,4.0,96.0,6.0,0.21,1.54,0.0,0.52,0.0,0.0,False
535937,823.0,3.0,70.0,3.0,0.08,3.11,295.25,3.33,7.0,49.0,False
8400268,1539.0,3.0,103.0,4.0,0.16,1.54,0.0,0.52,0.0,0.0,False
8400270,3296.0,7.0,86.0,6.0,0.25,8.79,26901.94,1.96,33.0,48.0,False
535952,204.0,1.0,4.0,0.0,1.56,12.97,1785.6,3.33,26.0,11.0,False
535953,1838.0,1.0,89.0,1.0,1.25,74.15,693700.85,3.33,425.0,38.0,False
798098,1730.5,2.0,116.0,2.5,0.51,22.07,27886.79,2.15,49.5,42.5,False
8400291,3224.0,4.0,187.0,6.0,0.17,1.54,0.0,0.52,0.0,0.0,False
766534,625.0,2.0,16.0,1.5,0.71,4.73,169347.94,2.33,17.5,30.0,False
8531373,1551.5,3.0,36.5,3.0,0.14,2.55,0.0,1.13,26.5,0.0,False
8662450,1658.0,2.0,46.0,3.0,0.2,2.95,36567.43,1.66,24.0,52.0,False
667064,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.78,0.0,0.0,True
8400323,839.0,1.0,39.0,1.5,0.15,3.92,14509.19,1.96,11.0,40.0,False
8400325,785.0,1.0,105.5,1.0,0.12,3.53,100590.62,1.96,11.0,40.0,False
536011,996.0,0.0,0.0,0.0,0.0,345.59,196469.11,3.33,27.0,6.0,False
8400336,517.0,1.0,48.0,2.0,0.09,18.53,1800.12,1.96,32.0,14.0,False
8400337,5945.0,4.0,154.0,5.0,0.07,1.54,0.0,1.96,0.0,51.0,False
8400338,1166.0,1.0,38.0,1.0,0.33,6.52,90223.55,1.96,24.0,26.0,False
536020,951.5,4.0,32.5,5.0,0.23,3.21,19106.85,3.33,9.0,46.5,False
536021,934.0,4.0,32.0,5.0,0.2,3.61,14382.47,3.33,11.0,46.0,False
8400342,360.0,1.0,43.0,1.5,0.14,14.37,284357.75,1.96,33.0,40.0,False
8400343,2963.0,5.0,101.0,5.0,0.22,7.02,148678.6,1.96,24.0,45.0,False
8400345,1902.0,3.0,60.5,3.0,0.96,7.02,148678.6,1.96,24.0,45.0,False
536026,934.0,4.0,33.0,5.0,0.21,3.23,20131.44,3.33,9.0,68.0,False
536027,1044.0,4.0,42.5,3.0,0.23,3.14,27059.97,3.33,9.0,63.5,False
536035,1037.5,7.0,43.5,2.5,0.21,6.06,37403.49,3.33,18.5,69.5,False
798182,566.0,3.0,36.0,4.0,0.04,2.66,6837.16,2.15,16.0,44.0,False
667111,4097.0,5.0,132.0,6.0,0.14,5.18,52184.95,3.05,17.0,84.0,False
8400361,5456.0,1.5,352.5,3.0,0.28,96.72,5938555.86,1.96,414.0,94.0,False
8400362,3025.0,3.0,124.0,3.0,0.15,3.92,14509.19,1.96,11.0,40.0,False
536043,594.0,2.0,48.0,5.0,0.29,3.7,34884.82,3.33,11.0,64.0,False
8400364,9941.0,6.0,260.0,5.0,0.22,8.7,1829469.49,1.96,7.0,61.0,False
8400365,1739.0,3.0,124.0,4.0,0.19,1.54,0.0,0.52,0.0,0.0,False
536059,3519.0,4.0,135.0,5.0,0.23,2.69,3985.82,3.33,3.0,80.0,False
8662526,1847.5,1.5,13.5,1.0,0.07,3.17,25425.7,1.66,22.0,14.5,False
667140,1598.5,5.0,41.5,4.5,0.22,2.51,289.68,3.05,2.0,27.5,False
798222,3408.0,1.0,235.0,2.0,0.59,9.11,926614.53,2.15,64.0,79.0,False
798223,6361.0,4.0,227.0,8.0,0.13,9.11,926614.53,2.15,64.0,79.0,False
667159,3457.0,3.0,168.0,3.0,0.12,2.28,0.0,0.78,0.0,0.0,False
548101,1360.5,2.5,48.5,2.5,0.95,3.31,4598.24,3.38,6.0,43.0,False
8400417,6906.0,4.0,246.0,8.0,0.13,25.18,3240229.13,1.96,122.0,85.0,False
536098,500.0,7.0,2.0,2.0,0.29,12.45,186874.81,3.33,50.0,64.0,False
667175,2314.0,4.0,16.0,3.0,0.15,8.57,37325.88,3.05,34.0,27.0,False
667177,2944.0,4.0,91.0,4.0,0.34,4.3,18395.56,3.05,16.0,47.0,False
536107,3576.0,4.0,177.0,6.0,0.13,9.55,250829.08,3.33,84.0,103.0,False
536112,3031.0,4.0,117.0,6.0,0.13,3.86,4995.01,3.33,6.0,66.0,False
8400434,157.0,3.0,13.0,3.0,0.11,1.66,53.13,1.96,2.0,15.0,False
8400436,965.0,3.0,43.0,2.0,0.12,1.98,43037.75,1.96,6.0,35.0,False
536117,1506.0,5.0,32.0,5.0,0.39,20.12,6512.17,3.33,40.0,37.0,False
536118,2237.5,3.0,82.5,4.0,0.24,3.15,34884.82,3.33,10.0,107.0,False
536122,545.0,5.0,26.0,5.0,0.31,4.0,2011.84,3.33,11.0,18.0,False
536123,600.0,4.0,8.0,4.0,0.52,3.38,1406.67,3.33,6.0,44.0,True
667197,8976.0,5.0,241.0,7.0,0.21,6.76,219602.37,3.05,41.0,156.0,False
8400452,411.5,3.5,12.5,3.0,0.13,1.78,7.95,1.96,7.0,4.0,False
8400457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8400459,1480.0,6.5,60.5,6.5,0.17,1.88,83794.78,1.96,10.0,44.0,False
536141,380.0,1.0,24.0,1.0,0.47,3.23,13227.05,3.33,11.0,49.0,False
536146,3028.0,3.0,64.5,4.0,0.23,2.96,109.8,2.12,4.0,9.0,False
536155,1739.0,6.0,47.0,5.0,0.15,2.7,118.35,3.33,3.0,77.0,False
667234,1515.0,2.0,87.0,3.0,0.13,4.12,58169.78,1.92,7.0,36.0,False
667248,2517.0,2.0,88.0,2.5,0.53,15.76,2.02,1.92,18.0,1.0,False
8662646,154.0,1.0,11.0,1.0,0.58,22.35,6814.08,1.66,25.0,19.0,False
667256,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.78,0.0,0.0,False
548116,231.0,8.0,3.0,5.0,0.27,2.69,0.0,3.38,0.0,16.0,False
798335,241.0,2.0,11.0,1.5,0.18,1.76,62263.02,2.15,5.0,44.0,False
8662656,1360.0,4.0,36.0,2.0,0.07,1.33,0.0,1.66,0.0,113.0,False
8531585,1292.0,2.0,77.0,3.0,0.15,7.13,63249.77,1.77,32.0,41.0,False
8662662,770.0,1.0,111.0,2.0,0.16,21.85,1554118.99,1.66,57.0,91.0,False
667281,940.0,4.0,35.0,5.0,0.17,2.69,14497.09,3.05,8.0,41.0,False
8400533,395.0,4.0,14.0,3.0,0.04,2.8,7603.41,1.96,12.0,14.0,False
8662678,1526.0,2.5,97.5,3.0,0.3,31.03,1111821.25,1.66,76.0,44.0,False
8400536,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.52,0.0,0.0,False
8531614,6443.0,4.0,282.0,7.0,0.16,12.73,383999.97,1.77,24.0,71.0,False
8662688,2832.0,2.0,161.5,3.0,0.39,9.53,39700.67,1.66,38.0,60.0,False
8400545,2494.0,6.0,93.0,4.0,0.13,1.9,53772.47,1.96,6.0,71.0,False
8609051,437.0,2.0,24.0,3.0,0.11,2.5,160473.97,1.69,12.0,23.0,True
8400551,596.0,3.0,33.0,3.0,0.11,1.72,7863.23,1.96,3.5,31.0,False
8400552,871.0,2.0,53.0,3.0,0.14,10.77,980.37,1.96,4.0,36.0,False
667306,1810.0,6.0,47.0,6.0,0.17,5.21,8564.51,3.05,25.0,34.0,False
667307,1334.5,3.5,77.5,4.0,0.15,24.67,408042.08,3.05,55.0,36.0,False
667308,5245.0,5.5,87.5,6.5,0.16,6.81,408959.92,3.05,27.5,68.5,False
667309,1336.0,7.0,22.0,5.0,0.19,3.77,2393.16,3.05,14.0,23.0,False
667310,1338.0,5.0,57.0,6.0,0.17,2.81,413.73,3.05,7.0,32.0,False
667311,6393.0,7.0,65.0,8.0,0.5,2.28,0.0,0.78,0.0,0.0,False
667312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
8400561,604.0,2.0,42.0,2.0,0.16,1.67,2032.53,1.96,2.0,18.0,False
8400562,246.0,2.0,13.0,2.0,0.18,1.88,4805.0,1.96,3.0,18.0,False
667318,358.0,6.0,7.0,3.0,0.31,2.72,27454.99,3.05,2.0,10.0,False
8400569,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.52,0.0,0.0,False
536250,2845.0,5.0,92.5,5.5,0.2,2.66,9235.42,2.12,1.5,38.0,False
8400577,399.0,1.0,8.0,0.0,0.62,3.42,37148.78,1.96,16.5,18.0,False
8662726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8531655,1261.0,1.0,132.0,2.0,0.17,6.78,13146.13,1.77,17.0,29.0,False
536264,766.5,2.5,32.5,2.0,0.58,6.63,21680.73,3.33,4.5,38.0,False
536268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8400589,1407.0,3.0,64.0,4.0,0.14,11.75,166528.65,1.96,43.0,33.0,False
536271,1838.0,4.5,100.5,5.0,0.13,3.23,36609.19,3.33,11.0,71.0,False
667347,119.5,1.0,9.0,1.5,0.23,2.28,0.0,0.78,0.0,0.0,False
8400596,2210.0,7.0,54.0,6.0,0.28,1.95,1104.96,1.96,5.0,31.0,False
8543524,3052.5,1.0,146.5,2.0,0.21,102.69,5620312.6,1.77,419.0,105.0,False
536287,3053.0,5.0,76.0,7.0,0.3,24.96,8927.04,3.33,69.0,49.0,False
798444,866.0,6.0,24.0,4.0,0.14,2.06,10593.3,2.15,7.0,32.0,False
8531700,1702.5,1.5,82.0,1.5,0.07,8.24,9871.82,1.77,21.0,42.0,False
8531703,1612.0,3.0,79.0,3.0,0.22,1.42,1427.01,1.77,4.0,77.0,False
667385,325.0,2.0,27.0,3.0,0.2,3.05,942.53,3.05,10.0,53.0,False
8400634,1899.0,5.0,70.0,5.0,0.14,1.54,0.0,1.96,0.0,55.0,False
8499840,1284.0,4.0,40.0,8.0,0.17,1.56,4038.49,1.8,4.0,35.0,False
8400643,753.0,1.0,80.0,1.0,0.1,2.69,250827.73,1.96,9.0,39.0,False
798468,1677.0,3.0,77.5,2.5,0.26,15.0,89448.36,2.15,141.0,39.0,False
798469,1339.0,3.0,56.0,4.0,0.09,2.66,6837.16,2.15,16.0,22.0,False
667399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
798472,1677.0,3.0,77.5,2.5,0.26,15.0,89448.36,2.15,141.0,39.0,False
798473,1677.0,3.0,77.5,2.5,0.26,15.0,89448.36,2.15,141.0,39.0,False
536336,1101.0,3.0,53.5,3.0,0.2,3.42,19677.48,3.33,12.0,49.0,False
798485,695.0,3.0,29.5,2.0,0.31,4.34,28943.03,2.15,43.5,28.5,False
667414,499.0,3.5,14.0,3.5,0.21,2.33,8.97,3.05,1.0,11.5,False
798487,1926.0,3.0,131.0,4.0,0.17,21.08,15757.2,2.15,52.0,34.0,False
8531736,5127.0,7.0,103.0,6.0,0.25,6.05,923046.76,1.77,40.0,73.0,False
667418,570.5,5.0,20.5,3.5,0.21,3.0,1920.4,3.05,4.5,18.5,False
667420,720.5,5.0,22.0,3.5,0.24,2.49,392.9,3.05,2.0,21.5,False
667421,843.0,5.0,30.0,3.0,0.06,2.28,0.0,3.05,0.0,22.0,False
536350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
667423,1077.0,4.0,34.0,4.0,0.17,2.83,20344.14,3.05,5.0,28.0,False
8662820,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.47,0.0,0.0,False
667429,303.0,3.0,14.0,2.0,0.28,2.44,159.37,3.05,1.0,7.0,False
667432,348.0,6.0,12.0,3.0,0.11,2.37,0.0,3.05,1.0,22.0,False
667433,893.0,9.0,18.0,7.0,0.16,2.28,0.0,0.78,0.0,0.0,False
667435,519.0,3.5,20.0,2.5,0.26,5.25,328675.07,3.05,23.0,56.0,False
8531756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
536371,1239.0,2.0,32.0,2.0,0.3,2.59,0.0,2.12,0.0,0.0,False
8400703,245.0,2.0,9.0,2.0,0.18,1.95,1894.1,1.96,2.0,18.0,False
8400704,824.0,3.0,22.0,3.0,0.12,3.97,43927.82,1.96,9.0,49.0,False
667458,3964.0,6.0,86.0,6.0,0.25,4.68,27589.52,3.05,15.0,65.0,False
667460,3160.5,4.5,120.5,5.5,0.16,24.45,439624.04,3.05,175.0,92.0,False
8400712,684.0,3.5,46.0,2.5,0.2,12.26,36310.05,1.96,46.0,38.5,False
667467,1184.0,1.0,73.0,0.0,0.59,3.44,6756.81,1.92,4.0,10.5,False
8531789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8499853,2653.0,7.0,59.0,6.0,0.29,7.77,418246.12,1.8,32.0,82.0,False
8652771,607.0,2.0,26.0,3.0,0.19,1.53,4691.65,1.66,3.0,35.0,False
8662869,1142.0,2.0,43.0,3.0,1.13,1.33,0.0,0.47,0.0,0.0,False
798551,870.0,3.0,30.0,3.0,0.2,1.82,4573.96,2.15,2.0,25.0,False
8400731,460.0,1.0,21.0,1.0,0.17,14.27,3491053.52,1.96,122.0,66.0,False
667486,279.0,2.0,7.0,2.0,0.41,23.58,53755.23,3.05,19.0,8.0,False
8531809,0.0,0.0,0.0,0.0,0.0,1.56,279.41,1.77,3.0,7.0,False
8531814,2548.0,3.0,115.0,3.0,0.11,10.08,17927.81,1.77,39.0,46.0,False
8400750,232.5,2.0,12.5,2.0,0.13,1.79,0.0,1.96,1.0,6.0,False
8662900,2781.0,2.0,103.0,2.0,0.45,3.87,64.92,1.06,4.0,2.5,False
8400775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
667540,3896.0,6.0,132.0,5.0,0.16,22.13,42233.1,3.05,34.0,50.0,False
536471,600.0,1.0,8.0,1.0,1.25,4.53,11949.99,3.33,14.0,52.0,False
798616,509.0,4.0,9.0,3.0,0.22,5.27,2913.45,2.15,4.0,7.0,False
536475,1380.0,5.0,42.0,6.0,0.35,2.59,0.0,0.91,0.0,0.0,False
716187,680.5,1.5,44.5,2.5,0.11,5.9,552589.02,2.43,30.0,57.0,False
798621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8531871,89.0,2.0,10.0,2.0,0.09,1.48,0.0,1.77,1.0,7.0,False
798630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
536488,1471.5,2.0,74.0,3.0,0.23,2.59,0.0,2.12,0.0,4.5,False
798633,75.0,1.0,14.0,1.0,0.12,4.12,536856.28,2.15,16.0,49.5,False
798637,3277.0,2.0,326.0,4.0,0.15,5.84,435900.7,1.36,27.0,25.5,False
798639,195.5,2.0,21.0,1.5,0.1,1.81,849.51,2.15,3.0,20.0,True
536497,191.0,1.5,8.5,1.5,1.65,2.67,0.0,3.33,0.5,8.0,False
798643,1472.5,6.5,74.5,3.5,0.08,6.52,1073712.56,2.15,30.0,80.0,False
8400821,2561.5,2.0,150.5,2.0,0.27,49.13,2969277.93,1.24,207.0,47.0,False
8400822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8400823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8400824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8400825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8400826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8400827,5456.0,1.5,352.5,3.0,0.28,96.72,5938555.86,1.96,414.0,94.0,False
536515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8662988,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.47,0.0,0.0,False
798671,1450.0,4.0,108.0,2.0,0.07,6.52,1073712.56,2.15,30.0,80.0,False
8531922,146.0,1.0,4.0,1.0,0.37,1.52,2178.73,1.77,2.0,12.0,False
482638,2337.0,4.0,121.0,7.0,0.19,2.75,14592.13,3.33,3.0,70.0,False
798678,6361.0,4.0,227.0,8.0,0.13,9.11,926614.53,2.15,64.0,79.0,False
536539,520.5,2.0,15.5,2.5,0.34,4.07,33427.05,3.33,9.0,31.5,False
536542,762.0,3.0,38.0,4.0,0.19,3.23,4995.01,3.33,5.0,34.0,False
8663011,644.0,1.0,67.0,1.0,0.19,1.33,0.0,0.47,0.0,0.0,False
