attach_id,hour,mozilla_reviewer,reviewer_exp,month,weekday,monthday,review_period,crash_inducing
655943,8,False,1316,08,3,29,0.9,False
8476087,21,True,2425,08,4,21,1.2,False
655968,8,False,1317,08,3,29,0.8,False
655971,22,False,1140,10,3,24,57.4,False
830225,18,False,599,11,2,12,1.0,False
787063,19,False,93,08,3,7,0.0,False
787065,18,True,433,08,5,9,2.0,False
8454250,22,False,1496,07,2,15,4.7,False
524939,18,False,116,04,0,10,0.3,False
8520336,5,False,537,11,2,11,0.2,False
8520342,23,False,1943,12,1,8,27.9,False
787096,20,False,537,08,3,7,0.0,False
8520356,5,True,97,11,2,11,0.1,False
8389288,19,True,1499,03,2,11,0.1,False
8389289,21,False,2913,03,2,11,0.2,False
524992,0,False,1429,04,1,11,0.1,False
524998,0,True,584,04,2,19,8.1,False
8389321,18,False,365,03,2,11,0.0,False
656079,14,False,264,08,3,29,0.9,False
8389339,21,False,427,03,2,11,0.1,False
8389345,14,False,714,03,4,13,1.8,False
8651492,23,False,6311,08,0,23,0.6,False
8389356,23,True,1006,03,3,12,1.2,False
8520430,3,False,5373,11,4,13,1.9,False
656113,17,False,246,09,2,4,7.0,False
656123,6,False,2002,08,3,29,0.5,False
8389401,18,False,484,03,3,12,0.9,False
8520482,9,False,203,11,2,11,0.0,False
8389414,9,False,304,03,3,12,0.5,False
656169,1,False,836,09,3,5,7.2,False
8389421,21,True,1218,03,2,11,0.0,False
656174,18,False,112,08,4,30,1.9,False
8389424,23,True,1219,03,2,11,0.1,False
8389432,3,False,720,03,2,18,6.3,False
8389435,21,False,123,03,2,11,0.0,False
787267,5,False,3643,08,4,8,0.2,False
525125,19,False,452,04,1,11,0.0,False
787271,5,False,3645,08,4,8,0.2,False
787275,5,False,3647,08,4,8,0.2,False
787277,5,False,3649,08,4,8,0.2,False
787278,5,False,3650,08,4,8,0.2,False
525135,19,False,79,04,1,11,0.0,False
8520530,3,True,749,11,4,13,1.7,False
656211,19,False,265,09,4,6,8.9,False
656212,19,False,266,09,4,6,8.9,False
656219,5,False,199,08,3,29,0.3,False
656220,22,True,815,08,2,28,0.0,False
656225,20,False,837,08,5,31,2.9,False
8651625,7,True,80,08,1,24,0.0,False
525166,14,False,85,04,1,25,4.7,False
8651636,21,True,174,08,1,24,0.6,False
8651638,12,True,724,08,1,24,0.2,False
787319,18,False,18,08,5,9,1.6,False
787321,14,False,19,08,5,9,1.4,False
525181,15,False,832,04,4,21,9.7,False
8520574,11,False,1474,11,2,11,0.0,False
8389504,23,False,800,03,2,11,0.0,False
445211,2,False,271,05,5,14,0.2,False
525195,22,False,117,04,1,11,0.0,False
